chrom1	start1	end1	chrom2	start2	end2	count
chr21	14350000	14400000	chr21	16000000	16050000	1
chr21	14350000	14400000	chr21	16100000	16150000	1
chr21	14400000	14450000	chr21	14400000	14450000	1
chr21	14450000	14500000	chr21	14450000	14500000	1
chr21	14450000	14500000	chr21	14650000	14700000	1
chr21	14450000	14500000	chr21	14700000	14750000	1
chr21	14450000	14500000	chr21	15200000	15250000	1
chr21	14450000	14500000	chr21	15250000	15300000	1
chr21	14450000	14500000	chr21	15300000	15350000	1
chr21	14450000	14500000	chr21	15350000	15400000	1
chr21	14450000	14500000	chr21	17900000	17950000	1
chr21	14450000	14500000	chr21	17950000	18000000	1
chr21	14500000	14550000	chr21	14500000	14550000	1
chr21	14500000	14550000	chr21	14550000	14600000	1
chr21	14550000	14600000	chr21	14500000	14550000	1
chr21	14550000	14600000	chr21	14550000	14600000	1
chr21	14550000	14600000	chr21	15750000	15800000	1
chr21	14550000	14600000	chr21	15950000	16000000	1
chr21	14600000	14650000	chr21	14600000	14650000	1
chr21	14650000	14700000	chr21	14450000	14500000	1
chr21	14650000	14700000	chr21	14650000	14700000	1
chr21	14650000	14700000	chr21	15300000	15350000	1
chr21	14650000	14700000	chr21	15350000	15400000	1
chr21	14650000	14700000	chr21	15450000	15500000	1
chr21	14650000	14700000	chr21	15500000	15550000	1
chr21	14700000	14750000	chr21	14450000	14500000	1
chr21	14700000	14750000	chr21	14700000	14750000	1
chr21	14700000	14750000	chr21	14800000	14850000	1
chr21	14700000	14750000	chr21	14950000	15000000	1
chr21	14700000	14750000	chr21	15250000	15300000	1
chr21	14700000	14750000	chr21	16000000	16050000	1
chr21	14700000	14750000	chr21	16100000	16150000	1
chr21	14700000	14750000	chr21	17900000	17950000	1
chr21	14750000	14800000	chr21	14750000	14800000	1
chr21	14750000	14800000	chr21	15250000	15300000	1
chr21	14750000	14800000	chr21	17650000	17700000	1
chr21	14750000	14800000	chr21	17900000	17950000	1
chr21	14750000	14800000	chr21	17950000	18000000	1
chr21	14800000	14850000	chr21	14350000	14400000	1
chr21	14800000	14850000	chr21	14700000	14750000	1
chr21	14800000	14850000	chr21	14800000	14850000	1
chr21	14800000	14850000	chr21	15150000	15200000	1
chr21	14800000	14850000	chr21	15450000	15500000	1
chr21	14800000	14850000	chr21	15750000	15800000	1
chr21	14800000	14850000	chr21	16000000	16050000	1
chr21	14800000	14850000	chr21	16100000	16150000	1
chr21	14850000	14900000	chr21	14850000	14900000	1
chr21	14900000	14950000	chr21	14900000	14950000	1
chr21	14900000	14950000	chr21	15000000	15050000	1
chr21	14950000	15000000	chr21	14700000	14750000	1
chr21	14950000	15000000	chr21	14950000	15000000	1
chr21	14950000	15000000	chr21	15000000	15050000	1
chr21	14950000	15000000	chr21	15050000	15100000	1
chr21	14950000	15000000	chr21	16800000	16850000	1
chr21	14950000	15000000	chr21	17900000	17950000	1
chr21	15000000	15050000	chr21	14900000	14950000	1
chr21	15000000	15050000	chr21	14950000	15000000	1
chr21	15000000	15050000	chr21	15000000	15050000	1
chr21	15000000	15050000	chr21	16800000	16850000	1
chr21	15050000	15100000	chr21	14950000	15000000	1
chr21	15050000	15100000	chr21	15050000	15100000	1
chr21	15050000	15100000	chr21	15200000	15250000	1
chr21	15050000	15100000	chr21	16800000	16850000	1
chr21	15050000	15100000	chr21	17900000	17950000	1
chr21	15050000	15100000	chr21	17950000	18000000	1
chr21	15100000	15150000	chr21	15100000	15150000	1
chr21	15100000	15150000	chr21	15200000	15250000	1
chr21	15100000	15150000	chr21	15350000	15400000	1
chr21	15100000	15150000	chr21	16750000	16800000	1
chr21	15100000	15150000	chr21	17050000	17100000	1
chr21	15100000	15150000	chr21	18000000	18050000	1
chr21	15150000	15200000	chr21	14350000	14400000	1
chr21	15150000	15200000	chr21	14800000	14850000	1
chr21	15150000	15200000	chr21	15150000	15200000	1
chr21	15150000	15200000	chr21	15750000	15800000	1
chr21	15150000	15200000	chr21	16000000	16050000	1
chr21	15200000	15250000	chr21	14450000	14500000	1
chr21	15200000	15250000	chr21	15050000	15100000	1
chr21	15200000	15250000	chr21	15100000	15150000	1
chr21	15200000	15250000	chr21	15200000	15250000	1
chr21	15200000	15250000	chr21	15250000	15300000	1
chr21	15200000	15250000	chr21	16750000	16800000	1
chr21	15200000	15250000	chr21	17050000	17100000	1
chr21	15200000	15250000	chr21	17950000	18000000	1
chr21	15200000	15250000	chr21	18000000	18050000	1
chr21	15250000	15300000	chr21	14450000	14500000	1
chr21	15250000	15300000	chr21	14700000	14750000	1
chr21	15250000	15300000	chr21	14750000	14800000	1
chr21	15250000	15300000	chr21	15200000	15250000	1
chr21	15250000	15300000	chr21	15250000	15300000	1
chr21	15250000	15300000	chr21	17900000	17950000	1
chr21	15250000	15300000	chr21	17950000	18000000	1
chr21	15300000	15350000	chr21	14300000	14350000	1
chr21	15300000	15350000	chr21	14450000	14500000	1
chr21	15300000	15350000	chr21	14650000	14700000	1
chr21	15300000	15350000	chr21	15300000	15350000	1
chr21	15300000	15350000	chr21	15350000	15400000	1
chr21	15300000	15350000	chr21	17950000	18000000	1
chr21	15350000	15400000	chr21	14450000	14500000	1
chr21	15350000	15400000	chr21	14650000	14700000	1
chr21	15350000	15400000	chr21	15100000	15150000	1
chr21	15350000	15400000	chr21	15300000	15350000	1
chr21	15350000	15400000	chr21	15350000	15400000	1
chr21	15350000	15400000	chr21	15450000	15500000	1
chr21	15350000	15400000	chr21	15500000	15550000	1
chr21	15350000	15400000	chr21	16750000	16800000	1
chr21	15350000	15400000	chr21	17050000	17100000	1
chr21	15400000	15450000	chr21	15400000	15450000	1
chr21	15400000	15450000	chr21	17050000	17100000	1
chr21	15450000	15500000	chr21	14650000	14700000	1
chr21	15450000	15500000	chr21	14800000	14850000	1
chr21	15450000	15500000	chr21	15350000	15400000	1
chr21	15450000	15500000	chr21	15450000	15500000	1
chr21	15450000	15500000	chr21	15500000	15550000	1
chr21	15450000	15500000	chr21	17100000	17150000	1
chr21	15450000	15500000	chr21	18150000	18200000	1
chr21	15500000	15550000	chr21	14650000	14700000	1
chr21	15500000	15550000	chr21	15350000	15400000	1
chr21	15500000	15550000	chr21	15450000	15500000	1
chr21	15500000	15550000	chr21	15500000	15550000	1
chr21	15500000	15550000	chr21	15550000	15600000	1
chr21	15500000	15550000	chr21	17100000	17150000	1
chr21	15500000	15550000	chr21	18150000	18200000	1
chr21	15550000	15600000	chr21	15500000	15550000	1
chr21	15550000	15600000	chr21	15550000	15600000	1
chr21	15550000	15600000	chr21	17100000	17150000	1
chr21	15550000	15600000	chr21	18150000	18200000	1
chr21	15550000	15600000	chr21	18200000	18250000	1
chr21	15600000	15650000	chr21	15600000	15650000	1
chr21	15650000	15700000	chr21	15650000	15700000	1
chr21	15650000	15700000	chr21	15700000	15750000	1
chr21	15650000	15700000	chr21	18150000	18200000	1
chr21	15700000	15750000	chr21	15650000	15700000	1
chr21	15700000	15750000	chr21	15700000	15750000	1
chr21	15750000	15800000	chr21	14350000	14400000	1
chr21	15750000	15800000	chr21	14550000	14600000	1
chr21	15750000	15800000	chr21	14800000	14850000	1
chr21	15750000	15800000	chr21	15150000	15200000	1
chr21	15750000	15800000	chr21	15750000	15800000	1
chr21	15750000	15800000	chr21	16100000	16150000	1
chr21	15750000	15800000	chr21	16150000	16200000	1
chr21	15800000	15850000	chr21	15800000	15850000	1
chr21	15850000	15900000	chr21	15850000	15900000	1
chr21	15900000	15950000	chr21	15900000	15950000	1
chr21	15900000	15950000	chr21	15950000	16000000	1
chr21	15900000	15950000	chr21	16150000	16200000	1
chr21	15950000	16000000	chr21	14550000	14600000	1
chr21	15950000	16000000	chr21	15900000	15950000	1
chr21	15950000	16000000	chr21	15950000	16000000	1
chr21	16000000	16050000	chr21	14350000	14400000	1
chr21	16000000	16050000	chr21	14700000	14750000	1
chr21	16000000	16050000	chr21	14800000	14850000	1
chr21	16000000	16050000	chr21	15150000	15200000	1
chr21	16000000	16050000	chr21	16000000	16050000	1
chr21	16000000	16050000	chr21	16100000	16150000	1
chr21	16050000	16100000	chr21	16050000	16100000	1
chr21	16100000	16150000	chr21	14350000	14400000	1
chr21	16100000	16150000	chr21	14700000	14750000	1
chr21	16100000	16150000	chr21	14800000	14850000	1
chr21	16100000	16150000	chr21	15750000	15800000	1
chr21	16100000	16150000	chr21	16000000	16050000	1
chr21	16100000	16150000	chr21	16100000	16150000	1
chr21	16100000	16150000	chr21	16150000	16200000	1
chr21	16150000	16200000	chr21	15750000	15800000	1
chr21	16150000	16200000	chr21	15900000	15950000	1
chr21	16150000	16200000	chr21	16100000	16150000	1
chr21	16150000	16200000	chr21	16150000	16200000	1
chr21	16200000	16250000	chr21	16200000	16250000	1
chr21	16250000	16300000	chr21	16250000	16300000	1
chr21	16300000	16350000	chr21	16300000	16350000	1
chr21	16350000	16400000	chr21	16350000	16400000	1
chr21	16400000	16450000	chr21	16400000	16450000	1
chr21	16400000	16450000	chr21	16450000	16500000	1
chr21	16400000	16450000	chr21	16600000	16650000	1
chr21	16400000	16450000	chr21	16850000	16900000	1
chr21	16400000	16450000	chr21	17050000	17100000	1
chr21	16400000	16450000	chr21	18000000	18050000	1
chr21	16450000	16500000	chr21	16400000	16450000	1
chr21	16450000	16500000	chr21	16450000	16500000	1
chr21	16450000	16500000	chr21	16600000	16650000	1
chr21	16450000	16500000	chr21	16850000	16900000	1
chr21	16450000	16500000	chr21	17000000	17050000	1
chr21	16450000	16500000	chr21	17600000	17650000	1
chr21	16450000	16500000	chr21	18000000	18050000	1
chr21	16500000	16550000	chr21	16500000	16550000	1
chr21	16550000	16600000	chr21	16550000	16600000	1
chr21	16600000	16650000	chr21	16400000	16450000	1
chr21	16600000	16650000	chr21	16450000	16500000	1
chr21	16600000	16650000	chr21	16600000	16650000	1
chr21	16600000	16650000	chr21	16850000	16900000	1
chr21	16600000	16650000	chr21	17000000	17050000	1
chr21	16600000	16650000	chr21	17600000	17650000	1
chr21	16600000	16650000	chr21	18000000	18050000	1
chr21	16650000	16700000	chr21	16650000	16700000	1
chr21	16700000	16750000	chr21	16700000	16750000	1
chr21	16700000	16750000	chr21	17000000	17050000	1
chr21	16700000	16750000	chr21	17350000	17400000	1
chr21	16750000	16800000	chr21	15100000	15150000	1
chr21	16750000	16800000	chr21	15200000	15250000	1
chr21	16750000	16800000	chr21	15350000	15400000	1
chr21	16750000	16800000	chr21	16750000	16800000	1
chr21	16750000	16800000	chr21	17050000	17100000	1
chr21	16750000	16800000	chr21	18000000	18050000	1
chr21	16800000	16850000	chr21	14950000	15000000	1
chr21	16800000	16850000	chr21	15000000	15050000	1
chr21	16800000	16850000	chr21	15050000	15100000	1
chr21	16800000	16850000	chr21	16800000	16850000	1
chr21	16850000	16900000	chr21	16400000	16450000	1
chr21	16850000	16900000	chr21	16450000	16500000	1
chr21	16850000	16900000	chr21	16600000	16650000	1
chr21	16850000	16900000	chr21	16850000	16900000	1
chr21	16850000	16900000	chr21	18000000	18050000	1
chr21	16900000	16950000	chr21	16900000	16950000	1
chr21	16950000	17000000	chr21	16950000	17000000	1
chr21	17000000	17050000	chr21	16450000	16500000	1
chr21	17000000	17050000	chr21	16600000	16650000	1
chr21	17000000	17050000	chr21	16700000	16750000	1
chr21	17000000	17050000	chr21	17000000	17050000	1
chr21	17000000	17050000	chr21	17350000	17400000	1
chr21	17000000	17050000	chr21	17600000	17650000	1
chr21	17050000	17100000	chr21	15100000	15150000	1
chr21	17050000	17100000	chr21	15200000	15250000	1
chr21	17050000	17100000	chr21	15350000	15400000	1
chr21	17050000	17100000	chr21	15400000	15450000	1
chr21	17050000	17100000	chr21	16400000	16450000	1
chr21	17050000	17100000	chr21	16750000	16800000	1
chr21	17050000	17100000	chr21	17050000	17100000	1
chr21	17050000	17100000	chr21	18000000	18050000	1
chr21	17100000	17150000	chr21	15450000	15500000	1
chr21	17100000	17150000	chr21	15500000	15550000	1
chr21	17100000	17150000	chr21	15550000	15600000	1
chr21	17100000	17150000	chr21	17100000	17150000	1
chr21	17100000	17150000	chr21	18150000	18200000	1
chr21	17350000	17400000	chr21	16700000	16750000	1
chr21	17350000	17400000	chr21	17000000	17050000	1
chr21	17350000	17400000	chr21	17350000	17400000	1
chr21	17350000	17400000	chr21	17450000	17500000	1
chr21	17400000	17450000	chr21	17400000	17450000	1
chr21	17400000	17450000	chr21	17550000	17600000	1
chr21	17450000	17500000	chr21	17350000	17400000	1
chr21	17450000	17500000	chr21	17450000	17500000	1
chr21	17450000	17500000	chr21	17550000	17600000	1
chr21	17500000	17550000	chr21	17500000	17550000	1
chr21	17500000	17550000	chr21	18500000	18550000	1
chr21	17500000	17550000	chr21	19400000	19450000	1
chr21	17550000	17600000	chr21	17400000	17450000	1
chr21	17550000	17600000	chr21	17450000	17500000	1
chr21	17550000	17600000	chr21	17550000	17600000	1
chr21	17600000	17650000	chr21	16450000	16500000	1
chr21	17600000	17650000	chr21	16600000	16650000	1
chr21	17600000	17650000	chr21	17000000	17050000	1
chr21	17600000	17650000	chr21	17600000	17650000	1
chr21	17600000	17650000	chr21	18000000	18050000	1
chr21	17650000	17700000	chr21	14750000	14800000	1
chr21	17650000	17700000	chr21	17650000	17700000	1
chr21	17650000	17700000	chr21	17950000	18000000	1
chr21	17700000	17750000	chr21	17700000	17750000	1
chr21	17750000	17800000	chr21	17750000	17800000	1
chr21	17800000	17850000	chr21	17800000	17850000	1
chr21	17800000	17850000	chr21	17850000	17900000	1
chr21	17850000	17900000	chr21	17800000	17850000	1
chr21	17850000	17900000	chr21	17850000	17900000	1
chr21	17900000	17950000	chr21	14450000	14500000	1
chr21	17900000	17950000	chr21	14700000	14750000	1
chr21	17900000	17950000	chr21	14750000	14800000	1
chr21	17900000	17950000	chr21	14950000	15000000	1
chr21	17900000	17950000	chr21	15050000	15100000	1
chr21	17900000	17950000	chr21	15250000	15300000	1
chr21	17900000	17950000	chr21	17900000	17950000	1
chr21	17900000	17950000	chr21	17950000	18000000	1
chr21	17950000	18000000	chr21	14450000	14500000	1
chr21	17950000	18000000	chr21	14750000	14800000	1
chr21	17950000	18000000	chr21	15050000	15100000	1
chr21	17950000	18000000	chr21	15200000	15250000	1
chr21	17950000	18000000	chr21	15250000	15300000	1
chr21	17950000	18000000	chr21	15300000	15350000	1
chr21	17950000	18000000	chr21	17650000	17700000	1
chr21	17950000	18000000	chr21	17900000	17950000	1
chr21	17950000	18000000	chr21	17950000	18000000	1
chr21	18000000	18050000	chr21	15100000	15150000	1
chr21	18000000	18050000	chr21	15200000	15250000	1
chr21	18000000	18050000	chr21	16400000	16450000	1
chr21	18000000	18050000	chr21	16450000	16500000	1
chr21	18000000	18050000	chr21	16600000	16650000	1
chr21	18000000	18050000	chr21	16750000	16800000	1
chr21	18000000	18050000	chr21	16850000	16900000	1
chr21	18000000	18050000	chr21	17050000	17100000	1
chr21	18000000	18050000	chr21	17600000	17650000	1
chr21	18000000	18050000	chr21	18000000	18050000	1
chr21	18050000	18100000	chr21	18050000	18100000	1
chr21	18100000	18150000	chr21	14050000	14100000	1
chr21	18100000	18150000	chr21	18100000	18150000	1
chr21	18150000	18200000	chr21	15450000	15500000	1
chr21	18150000	18200000	chr21	15500000	15550000	1
chr21	18150000	18200000	chr21	15550000	15600000	1
chr21	18150000	18200000	chr21	15650000	15700000	1
chr21	18150000	18200000	chr21	17100000	17150000	1
chr21	18150000	18200000	chr21	18150000	18200000	1
chr21	18200000	18250000	chr21	14000000	14050000	1
chr21	18200000	18250000	chr21	15550000	15600000	1
chr21	18200000	18250000	chr21	18200000	18250000	1
chr21	18250000	18300000	chr21	13250000	13300000	1
chr21	18250000	18300000	chr21	14100000	14150000	1
chr21	18250000	18300000	chr21	14150000	14200000	1
chr21	18250000	18300000	chr21	14200000	14250000	1
chr21	18250000	18300000	chr21	18250000	18300000	1
chr21	18300000	18350000	chr21	18300000	18350000	1
chr21	18350000	18400000	chr21	18350000	18400000	1
chr21	18400000	18450000	chr21	18400000	18450000	1
chr21	18400000	18450000	chr21	18500000	18550000	1
chr21	18450000	18500000	chr21	18450000	18500000	1
chr21	18450000	18500000	chr21	21800000	21850000	1
chr21	18450000	18500000	chr21	21950000	22000000	1
chr21	18450000	18500000	chr21	23500000	23550000	1
chr21	18450000	18500000	chr21	23950000	24000000	1
chr21	18450000	18500000	chr21	29850000	29900000	1
chr21	18450000	18500000	chr21	40350000	40400000	1
chr21	18500000	18550000	chr21	17500000	17550000	1
chr21	18500000	18550000	chr21	18400000	18450000	1
chr21	18500000	18550000	chr21	18500000	18550000	1
chr21	18550000	18600000	chr21	10600000	10650000	1
chr21	18550000	18600000	chr21	18550000	18600000	1
chr21	18550000	18600000	chr21	18600000	18650000	1
chr21	18550000	18600000	chr21	19350000	19400000	1
chr21	18550000	18600000	chr21	19600000	19650000	1
chr21	18550000	18600000	chr21	20000000	20050000	1
chr21	18600000	18650000	chr21	18550000	18600000	1
chr21	18600000	18650000	chr21	18600000	18650000	1
chr21	18600000	18650000	chr21	19350000	19400000	1
chr21	18600000	18650000	chr21	19600000	19650000	1
chr21	18600000	18650000	chr21	19650000	19700000	1
chr21	18600000	18650000	chr21	19850000	19900000	1
chr21	18600000	18650000	chr21	19900000	19950000	1
chr21	18600000	18650000	chr21	20500000	20550000	1
chr21	18600000	18650000	chr21	20800000	20850000	1
chr21	18650000	18700000	chr21	18650000	18700000	1
chr21	18700000	18750000	chr21	18700000	18750000	1
chr21	18750000	18800000	chr21	18750000	18800000	1
chr21	18800000	18850000	chr21	18800000	18850000	1
chr21	18800000	18850000	chr21	18900000	18950000	1
chr21	18800000	18850000	chr21	20700000	20750000	1
chr21	18800000	18850000	chr21	26050000	26100000	1
chr21	18800000	18850000	chr21	30500000	30550000	1
chr21	18800000	18850000	chr21	30850000	30900000	1
chr21	18800000	18850000	chr21	37600000	37650000	1
chr21	18850000	18900000	chr21	18850000	18900000	1
chr21	18850000	18900000	chr21	29950000	30000000	1
chr21	18850000	18900000	chr21	32000000	32050000	1
chr21	18900000	18950000	chr21	18800000	18850000	1
chr21	18900000	18950000	chr21	18900000	18950000	1
chr21	18900000	18950000	chr21	19900000	19950000	1
chr21	18900000	18950000	chr21	20400000	20450000	1
chr21	18900000	18950000	chr21	20650000	20700000	1
chr21	18900000	18950000	chr21	20700000	20750000	1
chr21	18900000	18950000	chr21	35700000	35750000	1
chr21	18900000	18950000	chr21	37450000	37500000	1
chr21	18900000	18950000	chr21	38800000	38850000	1
chr21	18950000	19000000	chr21	18950000	19000000	1
chr21	18950000	19000000	chr21	20500000	20550000	1
chr21	18950000	19000000	chr21	20550000	20600000	1
chr21	18950000	19000000	chr21	20800000	20850000	1
chr21	18950000	19000000	chr21	20900000	20950000	1
chr21	18950000	19000000	chr21	21000000	21050000	1
chr21	18950000	19000000	chr21	22300000	22350000	1
chr21	18950000	19000000	chr21	22350000	22400000	1
chr21	18950000	19000000	chr21	38800000	38850000	1
chr21	19000000	19050000	chr21	19000000	19050000	1
chr21	19000000	19050000	chr21	19350000	19400000	1
chr21	19000000	19050000	chr21	19450000	19500000	1
chr21	19000000	19050000	chr21	20000000	20050000	1
chr21	19000000	19050000	chr21	20150000	20200000	1
chr21	19050000	19100000	chr21	19050000	19100000	1
chr21	19100000	19150000	chr21	19100000	19150000	1
chr21	19100000	19150000	chr21	19300000	19350000	1
chr21	19100000	19150000	chr21	20000000	20050000	1
chr21	19150000	19200000	chr21	19150000	19200000	1
chr21	19200000	19250000	chr21	19200000	19250000	1
chr21	19250000	19300000	chr21	19250000	19300000	1
chr21	19250000	19300000	chr21	19450000	19500000	1
chr21	19250000	19300000	chr21	20100000	20150000	1
chr21	19250000	19300000	chr21	20200000	20250000	1
chr21	19300000	19350000	chr21	19100000	19150000	1
chr21	19300000	19350000	chr21	19300000	19350000	1
chr21	19300000	19350000	chr21	20350000	20400000	1
chr21	19300000	19350000	chr21	20800000	20850000	1
chr21	19300000	19350000	chr21	22300000	22350000	1
chr21	19350000	19400000	chr21	18550000	18600000	1
chr21	19350000	19400000	chr21	18600000	18650000	1
chr21	19350000	19400000	chr21	19000000	19050000	1
chr21	19350000	19400000	chr21	19350000	19400000	1
chr21	19350000	19400000	chr21	19600000	19650000	1
chr21	19350000	19400000	chr21	19650000	19700000	1
chr21	19350000	19400000	chr21	19950000	20000000	1
chr21	19350000	19400000	chr21	20000000	20050000	1
chr21	19400000	19450000	chr21	17500000	17550000	1
chr21	19400000	19450000	chr21	19400000	19450000	1
chr21	19450000	19500000	chr21	19000000	19050000	1
chr21	19450000	19500000	chr21	19250000	19300000	1
chr21	19450000	19500000	chr21	19450000	19500000	1
chr21	19450000	19500000	chr21	19500000	19550000	1
chr21	19450000	19500000	chr21	20100000	20150000	1
chr21	19450000	19500000	chr21	20150000	20200000	1
chr21	19450000	19500000	chr21	20200000	20250000	1
chr21	19500000	19550000	chr21	19450000	19500000	1
chr21	19500000	19550000	chr21	19500000	19550000	1
chr21	19500000	19550000	chr21	20100000	20150000	1
chr21	19500000	19550000	chr21	20150000	20200000	1
chr21	19550000	19600000	chr21	19550000	19600000	1
chr21	19550000	19600000	chr21	19700000	19750000	1
chr21	19550000	19600000	chr21	20300000	20350000	1
chr21	19550000	19600000	chr21	21250000	21300000	1
chr21	19550000	19600000	chr21	22750000	22800000	1
chr21	19550000	19600000	chr21	22800000	22850000	1
chr21	19550000	19600000	chr21	23000000	23050000	1
chr21	19550000	19600000	chr21	24350000	24400000	1
chr21	19550000	19600000	chr21	24400000	24450000	1
chr21	19600000	19650000	chr21	18550000	18600000	1
chr21	19600000	19650000	chr21	18600000	18650000	1
chr21	19600000	19650000	chr21	19350000	19400000	1
chr21	19600000	19650000	chr21	19600000	19650000	1
chr21	19600000	19650000	chr21	19650000	19700000	1
chr21	19600000	19650000	chr21	19850000	19900000	1
chr21	19600000	19650000	chr21	19900000	19950000	1
chr21	19650000	19700000	chr21	18600000	18650000	1
chr21	19650000	19700000	chr21	19350000	19400000	1
chr21	19650000	19700000	chr21	19600000	19650000	1
chr21	19650000	19700000	chr21	19650000	19700000	1
chr21	19650000	19700000	chr21	19900000	19950000	1
chr21	19650000	19700000	chr21	19950000	20000000	1
chr21	19700000	19750000	chr21	19550000	19600000	1
chr21	19700000	19750000	chr21	19700000	19750000	1
chr21	19700000	19750000	chr21	20300000	20350000	1
chr21	19700000	19750000	chr21	21250000	21300000	1
chr21	19700000	19750000	chr21	22750000	22800000	1
chr21	19700000	19750000	chr21	22800000	22850000	1
chr21	19700000	19750000	chr21	22850000	22900000	1
chr21	19700000	19750000	chr21	23000000	23050000	1
chr21	19700000	19750000	chr21	24300000	24350000	1
chr21	19700000	19750000	chr21	24350000	24400000	1
chr21	19750000	19800000	chr21	19750000	19800000	1
chr21	19750000	19800000	chr21	21650000	21700000	1
chr21	19800000	19850000	chr21	19800000	19850000	1
chr21	19850000	19900000	chr21	18600000	18650000	1
chr21	19850000	19900000	chr21	19600000	19650000	1
chr21	19850000	19900000	chr21	19850000	19900000	1
chr21	19850000	19900000	chr21	20350000	20400000	1
chr21	19850000	19900000	chr21	20500000	20550000	1
chr21	19850000	19900000	chr21	20800000	20850000	1
chr21	19900000	19950000	chr21	18600000	18650000	1
chr21	19900000	19950000	chr21	18900000	18950000	1
chr21	19900000	19950000	chr21	19600000	19650000	1
chr21	19900000	19950000	chr21	19650000	19700000	1
chr21	19900000	19950000	chr21	19900000	19950000	1
chr21	19900000	19950000	chr21	20400000	20450000	1
chr21	19900000	19950000	chr21	20650000	20700000	1
chr21	19900000	19950000	chr21	20700000	20750000	1
chr21	19900000	19950000	chr21	34350000	34400000	1
chr21	19900000	19950000	chr21	37450000	37500000	1
chr21	19900000	19950000	chr21	38800000	38850000	1
chr21	19950000	20000000	chr21	19350000	19400000	1
chr21	19950000	20000000	chr21	19650000	19700000	1
chr21	19950000	20000000	chr21	19950000	20000000	1
chr21	19950000	20000000	chr21	20650000	20700000	1
chr21	20000000	20050000	chr21	18550000	18600000	1
chr21	20000000	20050000	chr21	19000000	19050000	1
chr21	20000000	20050000	chr21	19100000	19150000	1
chr21	20000000	20050000	chr21	19350000	19400000	1
chr21	20000000	20050000	chr21	20000000	20050000	1
chr21	20000000	20050000	chr21	20350000	20400000	1
chr21	20000000	20050000	chr21	20550000	20600000	1
chr21	20000000	20050000	chr21	20800000	20850000	1
chr21	20050000	20100000	chr21	20050000	20100000	1
chr21	20100000	20150000	chr21	19250000	19300000	1
chr21	20100000	20150000	chr21	19450000	19500000	1
chr21	20100000	20150000	chr21	19500000	19550000	1
chr21	20100000	20150000	chr21	20100000	20150000	1
chr21	20150000	20200000	chr21	19000000	19050000	1
chr21	20150000	20200000	chr21	19450000	19500000	1
chr21	20150000	20200000	chr21	19500000	19550000	1
chr21	20150000	20200000	chr21	20150000	20200000	1
chr21	20150000	20200000	chr21	20200000	20250000	1
chr21	20200000	20250000	chr21	19250000	19300000	1
chr21	20200000	20250000	chr21	19450000	19500000	1
chr21	20200000	20250000	chr21	20150000	20200000	1
chr21	20200000	20250000	chr21	20200000	20250000	1
chr21	20250000	20300000	chr21	20250000	20300000	1
chr21	20300000	20350000	chr21	19550000	19600000	1
chr21	20300000	20350000	chr21	19700000	19750000	1
chr21	20300000	20350000	chr21	20300000	20350000	1
chr21	20300000	20350000	chr21	22800000	22850000	1
chr21	20300000	20350000	chr21	24300000	24350000	1
chr21	20300000	20350000	chr21	24450000	24500000	1
chr21	20350000	20400000	chr21	19300000	19350000	1
chr21	20350000	20400000	chr21	19850000	19900000	1
chr21	20350000	20400000	chr21	20000000	20050000	1
chr21	20350000	20400000	chr21	20350000	20400000	1
chr21	20350000	20400000	chr21	20500000	20550000	1
chr21	20350000	20400000	chr21	20550000	20600000	1
